model_0,model_dir_0,num_0,name_0,model_1,model_dir_1,num_1,name_1,win_0,win_1
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,20,9
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,20,5
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,20,14
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,20,1
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,20,16
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,20,18
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,11,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,250101,Nature4B,20,1
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,1001653,Nature4B,20,13
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,2503205,Nature4B,17,20
AdvantageQN,trained_models/03_1521/Adv_A/model.weights/model,2505204,Adv3A,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,4758399,Nature4B,16,20
